ens_gene,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
WBGene00014132,ZK896.1,4.23E-04,0.292580914,0.5494648,0.155868355,3.570890346,0.096737351,0.029031703,0.026320145,0.051951444,0.051951444
WBGene00021928,Y55F3AM.11,4.53E-04,0.30063839,-0.355473622,0.101357274,5.409949417,0.184108431,0.004679381,0.028616154,0.029564943,0.029564943
WBGene00011499,T05G5.4,6.27E-04,0.39983653,0.442510345,0.129393966,4.286195542,0.081845008,0.014997097,0.036359597,0.040812231,0.040812231
WBGene00019619,asp-14,6.87E-04,0.422121815,-0.343236528,0.101107572,7.224025392,0.056938286,7.69E-04,0.033306759,0.020684009,0.033306759
WBGene00004348,rgs-5,7.13E-04,0.422413889,0.302576709,0.089397922,6.133920697,0.034236701,0.002209711,0.016598736,0.024430251,0.024430251
WBGene00017009,D1007.13,8.08E-04,0.462458284,-0.824644011,0.246165773,2.529635812,0.277490471,0.084559384,0.117432575,0.089000076,0.117432575
WBGene00019134,F59H6.3,0.001041167,0.575869702,-0.611801372,0.186572613,3.433229601,0.147211517,0.060993981,0.037960392,0.055037153,0.055037153
WBGene00012431,Y11D7A.7,0.001143513,0.612074453,-0.260832342,0.080191764,7.262983409,0.032936141,8.01E-04,0.016762953,0.020634235,0.020634235
WBGene00004353,rgs-10,0.001369631,0.688675474,-0.583360066,0.182244458,3.463701557,0.15474709,0.039470156,0.071239985,0.054323593,0.071239985
WBGene00006561,tcl-2,0.001340493,0.688675474,0.47533391,0.14820992,5.501414102,0.128117475,0.004148403,0.069072198,0.028738552,0.069072198
WBGene00009408,F35C12.3,0.001425204,0.695541388,0.328985878,0.103146618,5.94491006,0.047757742,0.006149423,0.02931466,0.025553818,0.02931466
WBGene00011954,T23F11.2,0.142469508,0.781615259,0.177933764,0.121319312,5.20034869,0.049382992,0.006797375,0.042263877,0.031693584,0.042263877
WBGene00010633,nspd-2,0.099202774,0.781615259,0.251578435,0.152589142,6.38488793,0.078730273,0.001548751,0.076062736,0.023171236,0.076062736
WBGene00015419,srsx-18,0.13703687,0.781615259,-0.385993696,0.259593394,2.2604111,0.15290105,0.119001615,0.011976995,0.105627485,0.105627485
WBGene00007089,B0001.4,0.105598843,0.781615259,-0.137067446,0.08469863,7.729722288,0.023697871,4.84E-04,0.02342854,0.020519736,0.02342854
WBGene00015423,C04E6.7,0.212332588,0.781615259,0.130496756,0.104633705,5.341266943,0.034850277,0.005219481,0.03127456,0.030230681,0.03127456
WBGene00007314,gcy-29,0.019308975,0.781615259,-0.808247755,0.34547714,1.776421873,0.356889278,0.251149185,0.028814996,0.146698996,0.146698996
WBGene00016920,C54E4.5,0.147151075,0.781615259,0.139667613,0.09634454,6.049223525,0.033877865,0.002784295,0.028156606,0.024916184,0.028156606
WBGene00009185,F27C8.5,0.203012961,0.781615259,0.132283929,0.103913936,5.360328585,0.033800587,0.004810457,0.03118323,0.030042381,0.03118323
WBGene00009183,F27C8.2,0.055987843,0.781615259,0.296453438,0.155119431,3.767788095,0.084089508,0.026916761,0.053290031,0.048055916,0.053290031
WBGene00017436,F13H8.3,0.150965703,0.781615259,0.153475002,0.106867159,6.802623705,0.03716639,0.001272168,0.036796465,0.021640258,0.036796465
WBGene00022667,ZK154.5,0.108385288,0.781615259,-0.167049177,0.104048505,7.347590926,0.040107063,6.84E-04,0.035402799,0.020552387,0.035402799
WBGene00013093,cup-14,0.141774854,0.781615259,-0.203654121,0.138614369,6.842748619,0.063263765,7.10E-04,0.063336163,0.021520414,0.063336163
WBGene00004416,rpl-5,0.18013232,0.781615259,-0.189319498,0.141246554,10.44825645,0.06524713,2.84E-05,0.06647358,0.036421821,0.06647358
WBGene00000117,alh-11,0.200716591,0.781615259,-0.127525776,0.099667461,6.943166343,0.0329723,0.00114402,0.031967989,0.02124449,0.031967989
WBGene00001444,flp-1,0.108312693,0.781615259,0.147959021,0.09213903,5.988420409,0.030396675,0.002500473,0.025798197,0.02528275,0.025798197
WBGene00007604,xbx-9,0.023498781,0.781615259,-0.312155223,0.137803092,4.082752357,0.070787452,0.020315072,0.034440412,0.042983903,0.042983903
WBGene00022031,Y65B4A.8,0.129508412,0.781615259,-0.12841361,0.08470313,6.572553082,0.022990425,0.00149756,0.020837744,0.022417841,0.022417841
WBGene00007171,B0393.6,0.200107741,0.781615259,-0.223132288,0.174152754,7.632572708,0.096384148,4.92E-04,0.100605074,0.02048013,0.100605074
WBGene00019184,H10E21.4,0.119700769,0.781615259,0.258912608,0.166392984,6.46564254,0.090447021,0.001658236,0.090630515,0.022827449,0.090630515
WBGene00011680,T10B10.3,0.208535976,0.781615259,-0.1991512,0.158357977,6.884093066,0.087288935,9.99E-04,0.082591799,0.021402526,0.082591799
WBGene00008920,eef-1G,0.219851099,0.781615259,-0.159703308,0.130165591,10.54156456,0.054189514,2.67E-05,0.056450261,0.037704494,0.056450261
WBGene00022015,Y61A9LA.3,0.211666832,0.781615259,-0.103258598,0.082673335,6.79567516,0.015166579,0.001121398,0.014235511,0.021661536,0.021661536
WBGene00019904,twk-49,0.048307487,0.781615259,0.240319278,0.121702001,4.627071045,0.040083572,0.011530422,0.024562429,0.037840834,0.037840834
WBGene00006823,unc-94,0.138873366,0.781615259,-0.159834738,0.107996478,8.008967551,0.038942534,3.57E-04,0.038520873,0.020811038,0.038520873
WBGene00012769,hrpu-1,0.206205552,0.781615259,-0.22886019,0.181050509,8.476345771,0.105396333,2.43E-04,0.109021711,0.021865815,0.109021711
WBGene00018051,che-10,0.217234957,0.781615259,-0.144102212,0.116784649,6.852188915,0.044974889,0.001292212,0.044169969,0.021492985,0.044169969
WBGene00011047,R06A4.2,0.174208874,0.781615259,-0.204554231,0.150539968,7.343173877,0.078215707,6.50E-04,0.074891115,0.020555768,0.074891115
WBGene00017419,F13B9.1,0.179138296,0.781615259,-0.220763295,0.164330182,7.831333166,0.091089285,3.98E-04,0.089616298,0.020595398,0.089616298
WBGene00019249,H28G03.1,0.223724332,0.781615259,-0.153943482,0.126527049,7.752142223,0.051813813,3.71E-04,0.052992964,0.020533431,0.052992964
WBGene00000549,cls-2,0.227576017,0.781615259,-0.235940949,0.195537683,7.546901664,0.123112113,5.59E-04,0.126890928,0.020472031,0.126890928
WBGene00013837,fbxa-30,0.090779466,0.781615259,0.430991082,0.254828245,2.407187989,0.23756799,0.114999609,0.101458506,0.096096231,0.101458506
WBGene00004161,pqn-80,0.076103857,0.781615259,-0.177346072,0.099983468,7.475528824,0.035119144,4.02E-04,0.03292069,0.020484714,0.03292069
WBGene00019896,R05G6.1,0.084942756,0.781615259,0.293284158,0.170246779,3.331899948,0.072181543,0.039060961,0.028395906,0.057552258,0.057552258
WBGene00010079,F55A11.6,0.202495437,0.781615259,0.110177361,0.086449273,6.39460907,0.017476463,0.001783379,0.014654971,0.023128211,0.023128211
WBGene00017241,pcyt-1,0.052648987,0.781615259,0.155038561,0.080007974,7.845081405,0.025249523,4.72E-04,0.020865616,0.020608309,0.020865616
WBGene00022278,rcor-1,0.127829872,0.781615259,-0.164999333,0.108358601,8.138903038,0.038467589,2.75E-04,0.038863532,0.021035345,0.038863532
WBGene00012225,W03G11.3,0.176052268,0.781615259,0.127779958,0.094441215,5.79515346,0.021102494,0.003190912,0.017151441,0.026539565,0.026539565
WBGene00012224,W03G11.2,0.074126056,0.781615259,0.210772721,0.118024777,4.732009458,0.040949032,0.009595935,0.030016496,0.036836892,0.036836892
WBGene00010139,F56A8.3,0.213760569,0.781615259,-0.11715975,0.09423356,8.114659978,0.028357608,3.73E-04,0.029226847,0.020989406,0.029226847
WBGene00022235,sqd-1,0.138280239,0.781615259,-0.146393032,0.098765679,10.12146423,0.031596082,3.91E-05,0.03186218,0.032476425,0.032476425
WBGene00004355,rha-1,0.19089393,0.781615259,-0.146461545,0.111978863,8.472752685,0.039939659,2.10E-04,0.041587353,0.021855035,0.041587353
WBGene00005023,sqv-5,0.19528448,0.781615259,-0.179116891,0.138303133,8.937781376,0.060910902,1.38E-04,0.063621525,0.023627252,0.063621525
WBGene00022876,ZK1248.5,0.090353705,0.781615259,0.254979938,0.150560785,5.12492492,0.07780793,0.00611992,0.069441913,0.032516087,0.069441913
WBGene00000650,col-74,0.08060812,0.781615259,-0.614724364,0.351840349,2.213115813,0.436850959,0.175200394,0.237438378,0.108956811,0.237438378
WBGene00008744,F13D12.10,0.206186814,0.781615259,0.184319115,0.145808196,3.836906713,0.051565301,0.024066553,0.028826545,0.046800214,0.046800214
WBGene00006525,tax-2,0.194921032,0.781615259,0.280446005,0.216367132,2.722317237,0.131190211,0.076815252,0.037509353,0.079233868,0.079233868
WBGene00002297,ect-2,0.162794076,0.781615259,-0.241553459,0.17306532,8.385282859,0.098356884,2.34E-04,0.099604494,0.021605759,0.099604494
WBGene00020770,eat-17,0.067112993,0.781615259,-0.274284385,0.149807144,7.316061501,0.078504316,0.00106564,0.073741627,0.020578595,0.073741627
WBGene00004736,sca-1,0.198169549,0.781615259,-0.232834963,0.180943301,9.688850422,0.106665915,6.61E-05,0.10906887,0.028378392,0.10906887
WBGene00001479,fmo-4,0.03256967,0.781615259,0.195879893,0.091646218,7.057968134,0.032107651,9.70E-04,0.027026983,0.020975142,0.027026983
WBGene00002268,lec-5,0.196206508,0.781615259,0.10545429,0.08159349,8.515547955,0.013148507,2.05E-04,0.01225834,0.021986245,0.021986245
WBGene00000914,daf-19,0.095612573,0.781615259,-0.190403386,0.114253011,6.220056816,0.046928384,0.001830296,0.041682206,0.023966803,0.041682206
WBGene00006936,glp-4,0.146187614,0.781615259,-0.150129312,0.103314427,9.380279025,0.035153774,9.34E-05,0.035486203,0.026105838,0.035486203
WBGene00006695,twk-45,0.222647849,0.781615259,0.234229088,0.192067021,3.517150701,0.105273677,0.069850656,-2.43E-04,0.053115146,0.053115146
WBGene00000631,col-54,0.093292783,0.781615259,0.478615737,0.285182581,5.137649872,0.272656516,0.008372547,0.262724469,0.032375917,0.262724469
WBGene00013456,Y67A10A.7,0.086151026,0.781615259,0.272576671,0.158838642,3.510100465,0.079313302,0.030827516,0.04698217,0.053271531,0.053271531
WBGene00001679,gpb-1,0.193751797,0.781615259,-0.189021378,0.145450283,8.786178063,0.069130869,1.63E-04,0.070356746,0.022962961,0.070356746
WBGene00000837,cul-2,0.167770334,0.781615259,-0.212523119,0.154068839,8.50642577,0.07733651,2.22E-04,0.07890201,0.021957761,0.07890201
WBGene00004425,rpl-13,0.210144616,0.781615259,-0.125455135,0.100110398,10.20166803,0.03074898,3.63E-05,0.031777496,0.033370722,0.033370722
WBGene00018823,F54E2.1,0.179888006,0.781615259,0.186731585,0.139237636,8.29783422,0.061268388,2.69E-04,0.064354977,0.02138139,0.064354977
WBGene00007975,gls-1,0.097926921,0.781615259,-0.230902839,0.139519339,8.827060374,0.065765061,1.54E-04,0.064731781,0.023133494,0.064731781
WBGene00004027,pie-1,0.176092529,0.781615259,-0.195748783,0.144689943,7.525292165,0.067869102,0.000666334,0.069117598,0.020473996,0.069117598
WBGene00018311,F41G4.8,0.090973421,0.781615259,0.216596916,0.128142237,4.414254188,0.057402185,0.013333066,0.04140171,0.03967868,0.04140171
WBGene00018309,F41G4.5,0.178677965,0.781615259,-0.755332331,0.561653555,1.948108115,1.00974306,0.15443346,0.897082258,0.130230936,0.897082258
WBGene00018308,F41G4.4,0.069385717,0.781615259,-0.728349192,0.401095435,1.524991875,0.562743793,0.254129957,0.282128537,0.175347584,0.282128537
WBGene00045399,Y47G6A.33,0.218550404,0.781615259,0.098655763,0.080182393,7.23227656,0.008903754,7.58E-04,0.007384082,0.02067285,0.02067285
WBGene00001860,him-1,0.08827403,0.781615259,-0.187959634,0.110267849,8.626368218,0.040831927,6.28E-04,0.039902296,0.022354987,0.039902296
WBGene00020195,T03G6.3,0.049497657,0.781615259,0.15872425,0.080805318,7.252982309,0.024622083,7.50E-04,0.021014992,0.020646303,0.021014992
WBGene00004241,puf-5,0.178045972,0.781615259,-0.218180929,0.161999994,9.720722039,0.084061918,6.31E-05,0.087416864,0.028641897,0.087416864
WBGene00006940,wee-1.3,0.15020827,0.781615259,-0.242443194,0.168504192,8.608800786,0.09338522,1.91E-04,0.094454931,0.022293705,0.094454931
WBGene00013142,Y53C12A.7,0.028401288,0.781615259,0.32134428,0.146618839,3.963285343,0.078721114,0.022666804,0.048990142,0.044647604,0.048990142
WBGene00006754,unc-15,0.229645108,0.781615259,-0.195653209,0.162871487,9.653167757,0.084288016,8.18E-05,0.088341982,0.028090062,0.088341982
WBGene00006331,sup-26,0.22074622,0.781615259,-0.177946883,0.145316585,7.402101937,0.085772021,0.001993658,0.068396042,0.020516432,0.068396042
WBGene00002192,kin-4,0.19365202,0.781615259,-0.222974319,0.171538359,8.693060084,0.095101387,2.00E-04,0.097884434,0.022597536,0.097884434
WBGene00017984,F32D1.5,0.082123397,0.781615259,-0.148296821,0.085301775,9.004134263,0.019134636,3.09E-04,0.017287999,0.023946135,0.023946135
WBGene00000403,casy-1,0.108442228,0.781615259,-0.139899062,0.087151796,6.381104035,0.018193434,0.002130015,0.014613258,0.023188103,0.023188103
WBGene00006919,vha-10,0.178617942,0.781615259,0.113492232,0.084379425,8.932530095,0.010018154,1.30E-04,0.008792007,0.023602761,0.023602761
WBGene00004354,rgs-11,0.222665733,0.781615259,-0.146479562,0.120117365,6.040679734,0.045099586,0.002465247,0.04562869,0.024966814,0.04562869
WBGene00004105,szy-20,0.179183345,0.781615259,-0.179938578,0.133955254,7.918675694,0.058794757,3.55E-04,0.059458042,0.020688211,0.059458042
WBGene00021161,Y4C6B.7,0.225596625,0.781615259,0.112076635,0.092489263,5.927722987,0.02240394,0.002851358,0.02078392,0.025662854,0.025662854
WBGene00018380,decr-1.1,0.029892857,0.781615259,0.28526837,0.131368837,5.635843294,0.068326899,0.004203584,0.053322321,0.027670027,0.053322321
WBGene00020612,arrd-22,0.195116749,0.781615259,-0.16362289,0.126292176,4.772794274,0.050073809,0.008359336,0.044806377,0.036414001,0.044806377
WBGene00009981,F53F1.3,0.096400403,0.781615259,0.146681837,0.088226455,6.644362062,0.02676954,0.001370017,0.024576341,0.022160149,0.024576341
WBGene00021355,Y37E3.17,0.208148129,0.781615259,-0.18480288,0.146823474,8.66877447,0.069030876,2.01E-04,0.07165589,0.022507386,0.07165589
WBGene00004704,rsp-7,0.147438427,0.781615259,-0.12140035,0.083803039,7.883881439,0.023737669,3.17E-04,0.023092971,0.020648169,0.023092971
WBGene00018383,F43C11.6,0.175774708,0.781615259,0.222212657,0.164130262,3.469730373,0.075488973,0.03561122,0.035614403,0.05418459,0.05418459
WBGene00018384,F43C11.7,0.04337017,0.781615259,0.217139707,0.107488123,5.165963208,0.021562502,0.00644638,0.006626933,0.032065942,0.032065942
WBGene00016725,C46H3.2,0.146242765,0.781615259,-0.193526376,0.133197175,5.796065256,0.061408206,0.003328648,0.055809643,0.026533327,0.055809643
WBGene00017934,F30B5.4,0.067096826,0.781615259,-0.228313287,0.124691525,6.806486857,0.05371079,0.001124758,0.05070183,0.021628494,0.05070183
WBGene00017724,F22F7.7,0.082059323,0.781615259,-0.171075399,0.098383631,5.801430665,0.032818187,0.004369521,0.027894942,0.026496678,0.027894942
WBGene00195147,F14E5.8,0.063123996,0.781615259,0.319328004,0.171837198,3.614154816,0.114436236,0.032528864,0.065897877,0.051048835,0.065897877
WBGene00011511,gpcp-2,0.210798232,0.781615259,-0.141894057,0.113390649,8.163545325,0.041325636,3.31E-04,0.042527033,0.021083878,0.042527033
WBGene00016249,mrpl-32,0.218225333,0.781615259,0.103479436,0.084043474,7.153564348,0.024697145,7.78E-04,0.022766465,0.020792403,0.022766465
WBGene00021281,ell-1,0.147482701,0.781615259,-0.21132449,0.145893909,8.395671916,0.070455936,1.96E-04,0.070754246,0.021634053,0.070754246
WBGene00016029,elf-1,0.160298941,0.781615259,-0.183785261,0.13089495,5.239801441,0.061814065,0.005117166,0.05199446,0.031272868,0.05199446
WBGene00021304,nphp-2,0.072715313,0.781615259,-0.338552071,0.188649024,3.160769283,0.080398343,0.056244624,-0.002709218,0.062383557,0.062383557
WBGene00009149,F26D2.10,0.058020966,0.781615259,0.255529008,0.134805426,5.063845721,0.062703769,0.006827647,0.053747363,0.033194677,0.053747363
WBGene00013544,Y75B8A.7,0.156290246,0.781615259,-0.112384469,0.079274665,7.797118124,0.014270845,3.82E-04,0.012430499,0.02056603,0.02056603
WBGene00013541,lonp-2,0.122694631,0.781615259,0.130975032,0.084852494,6.557826431,0.01265498,0.001527668,0.007741502,0.022472151,0.022472151
WBGene00013545,Y75B8A.8,0.088950689,0.781615259,-0.136240514,0.080096296,7.591182045,0.022307983,5.32E-04,0.020852266,0.020473059,0.020852266
WBGene00022078,epg-9,0.136826825,0.781615259,-0.125872772,0.084608285,6.570533431,0.011200862,0.001436612,0.006902049,0.022425261,0.022425261
WBGene00022301,cpsf-1,0.106763327,0.781615259,-0.148337667,0.091968774,7.765932728,0.029031228,0.003313271,0.024880913,0.0205427,0.024880913
WBGene00006510,mtrr-1,0.086895118,0.781615259,0.144112477,0.084177435,8.90543964,0.016274896,1.41E-04,0.013783031,0.023478131,0.023478131
WBGene00000415,ced-1,0.053678852,0.781615259,-0.16045567,0.083162683,8.166373341,0.025899385,0.001795739,0.0212577,0.021089567,0.0212577
WBGene00004461,rpn-5,0.225075455,0.781615259,-0.103487261,0.085305136,9.037059947,0.01537372,1.46E-04,0.015586526,0.024110949,0.024110949
WBGene00013656,Y105C5B.17,0.172861189,0.781615259,0.23768439,0.174374609,3.824335054,0.100038857,0.025037485,0.076317529,0.047025005,0.076317529
WBGene00021662,snpc-3.3,0.017723771,0.781615259,-0.333270862,0.14054122,4.560198904,0.088275203,0.01166579,0.054173658,0.038434183,0.054173658
WBGene00017463,F14D12.1,0.221115595,0.781615259,-0.177212144,0.144832393,4.838803955,0.067020411,0.007808209,0.062113198,0.035703654,0.062113198
WBGene00044163,F49C5.11,0.058918491,0.781615259,0.384272247,0.203447708,4.798501997,0.142837481,0.00629025,0.13167965,0.03613996,0.13167965
WBGene00017160,F01F1.3,0.021323622,0.781615259,0.225919949,0.098131992,5.582340107,0.02607879,0.004026544,0.016720205,0.028073082,0.028073082
WBGene00001023,dnj-5,0.11142355,0.781615259,-0.214443473,0.134715301,9.26104882,0.059940008,1.06E-04,0.060387973,0.025353379,0.060387973
WBGene00011742,tgn-38,0.22272788,0.781615259,-0.09677572,0.079369477,7.550966742,0.014143623,5.27E-04,0.013584257,0.020471843,0.020471843
WBGene00001172,egl-3,0.137380953,0.781615259,-0.206014126,0.13867261,7.317357683,0.06812379,7.29E-04,0.063371046,0.020577416,0.063371046
WBGene00007384,swt-3,0.024637095,0.781615259,0.243506211,0.108367263,6.82468717,0.045085775,0.001202504,0.037942375,0.021573712,0.037942375
WBGene00013014,Y48E1C.1,0.18550145,0.781615259,-0.14027797,0.105949744,6.794318507,0.038188697,0.002168043,0.035249784,0.021665708,0.035249784
WBGene00004254,pxf-1,0.086215039,0.781615259,-0.254311722,0.148225309,8.451404933,0.074163193,0.001825941,0.071409866,0.02179187,0.071409866
WBGene00003150,mbk-2,0.167379622,0.781615259,-0.185368137,0.134259292,9.161694582,0.058469397,1.04E-04,0.059981457,0.024775596,0.059981457
WBGene00020461,T12C9.7,0.102553455,0.781615259,-0.204780348,0.12543215,6.90670562,0.05237129,0.001141022,0.05130306,0.021340551,0.05130306
WBGene00007495,C09G9.5,0.080187975,0.781615259,0.25404363,0.145201274,4.192465681,0.078012848,0.014178121,0.056099912,0.041734236,0.056099912
WBGene00013482,Y69H2.7,0.132181729,0.781615259,-0.171398597,0.113844211,6.99307629,0.043473868,0.001046761,0.04215492,0.021121035,0.04215492
WBGene00017658,F21C10.9,0.037771767,0.781615259,0.428415491,0.206234423,7.253410234,0.156195635,9.16E-04,0.14085897,0.020645777,0.14085897
WBGene00012744,Y40H7A.4,0.114375216,0.781615259,0.380446095,0.240967212,2.983494932,0.142038737,0.125191645,-0.032762923,0.068359013,0.068359013
WBGene00000562,cng-1,0.017507737,0.781615259,-0.36126424,0.152055703,3.694225462,0.093767075,0.027618967,0.047593232,0.049450823,0.049450823
WBGene00004109,stam-1,0.13810228,0.781615259,-0.118747196,0.080077947,8.167098033,0.015643287,2.84E-04,0.015181968,0.021091029,0.021091029
WBGene00006437,mrck-1,0.159138583,0.781615259,-0.212414131,0.150865028,8.6439391,0.074521474,1.90E-04,0.075677108,0.022417364,0.075677108
WBGene00022549,ZC196.5,0.110717542,0.781615259,0.156790864,0.098302945,5.635714343,0.03258882,0.003362957,0.028848607,0.027670974,0.028848607
WBGene00022546,ZC196.2,0.149163303,0.781615259,0.208430184,0.144493014,3.896708838,0.072953705,0.018769297,0.050824807,0.045750792,0.050824807
WBGene00005652,srr-1,0.173545777,0.781615259,0.198302127,0.145714123,3.849071226,0.053804828,0.024191215,0.027294571,0.046584137,0.046584137
WBGene00019691,K12H6.12,0.206212248,0.781615259,-0.165790173,0.131157972,4.213033037,0.042905006,0.015818986,0.022327718,0.041522392,0.041522392
WBGene00015500,C06A5.2,0.139377324,0.781615259,0.213363741,0.144348657,4.069453331,0.073513295,0.018087836,0.05136728,0.04315154,0.05136728
WBGene00002299,let-23,0.04022899,0.781615259,0.171255004,0.083482424,6.708874381,0.019811105,0.001291373,0.014842195,0.021939677,0.021939677
WBGene00010770,K11D2.4,0.232815791,0.781615259,-0.20302667,0.170162101,6.649357563,0.093425271,0.001582334,0.094934802,0.022142688,0.094934802
WBGene00022675,gbb-2,0.216938051,0.781615259,0.121666211,0.098538203,5.563429588,0.026795458,0.004143289,0.022987078,0.028222636,0.028222636
WBGene00021768,Y51F10.7,0.16387688,0.781615259,0.111219122,0.079890167,8.094809049,0.018239499,3.22E-04,0.016970466,0.020953118,0.020953118
WBGene00007907,C34B4.2,0.111161484,0.781615259,-0.213149147,0.133804092,7.293235145,0.061041587,8.21E-04,0.058857144,0.020600769,0.058857144
WBGene00022508,ZC53.1,0.124273364,0.781615259,-0.276194899,0.179687875,5.550588354,0.106536499,0.004432099,0.103193675,0.028326306,0.103193675
WBGene00004384,rnp-1,0.084386483,0.781615259,-0.173199017,0.10035968,7.773904577,0.034144749,4.59E-04,0.033114121,0.020548352,0.033114121
WBGene00015161,pho-5,0.233020688,0.781615259,-0.10457029,0.087681609,7.008847091,0.023915403,9.49E-04,0.024677734,0.021084025,0.024677734
WBGene00009974,F53C11.4,0.183444316,0.781615259,-0.200067484,0.150401293,8.060581949,0.07349786,3.63E-04,0.075039202,0.020893511,0.075039202
WBGene00001006,dlg-1,0.149589858,0.781615259,-0.224946052,0.156106115,6.281829709,0.082260822,8.03E-04,0.080427259,0.023654282,0.080427259
WBGene00018812,sumv-2,0.183103767,0.781615259,-0.266197593,0.199959265,8.177642302,0.129881748,3.05E-04,0.132974297,0.02111248,0.132974297
WBGene00015523,ztf-30,0.068776951,0.781615259,0.335006022,0.18408116,3.143324834,0.106675338,0.050029243,0.046688064,0.062923669,0.062923669
WBGene00003112,mab-21,0.040395481,0.781615259,0.255065635,0.12444157,4.429789057,0.042898724,0.012072727,0.023543079,0.039546287,0.039546287
WBGene00021277,Y23H5B.6,0.159442424,0.781615259,-0.130351993,0.092648678,7.360982002,0.027944132,7.02E-04,0.027910359,0.020542567,0.027910359
WBGene00010904,ugt-62,0.031372047,0.781615259,0.301346921,0.140010185,8.778052571,0.074587071,1.74E-04,0.065168789,0.022929809,0.065168789
WBGene00007536,daf-36,0.006848222,0.781615259,0.248032525,0.091723385,6.702335973,0.035458932,0.001344179,0.026699752,0.021961513,0.026699752
WBGene00022388,Y95B8A.8,0.223382063,0.781615259,-0.097047523,0.079704986,7.994072997,0.020019376,3.87E-04,0.020044512,0.020788897,0.020788897
WBGene00004459,rpn-2,0.195617696,0.781615259,-0.216658802,0.167415509,9.131717104,0.090253036,9.79E-05,0.093328581,0.024609734,0.093328581
WBGene00022732,ZK418.2,0.077901926,0.781615259,0.21999185,0.124783274,5.080121011,0.052354503,0.006973086,0.044929799,0.033013075,0.044929799
